n_obs,d,mu_norm,equal_space_mu,n_proj,B,sim,alpha,p_0,avg_ts,reject
100,1,4,0,100,100,86,0.1,0.5,,0
100,1,4,0,100,100,87,0.1,0.5,,0
100,1,4,0,100,100,88,0.1,0.5,,0
100,1,4,0,100,100,89,0.1,0.5,,0
100,1,4,0,100,100,90,0.1,0.5,,0
100,1,4,0,100,100,91,0.1,0.5,,0
100,1,4,0,100,100,92,0.1,0.5,,0
100,1,4,0,100,100,93,0.1,0.5,,1
100,1,4,0,100,100,94,0.1,0.5,,0
100,1,4,0,100,100,95,0.1,0.5,,0
100,1,4,0,100,100,96,0.1,0.5,,0
100,1,4,0,100,100,97,0.1,0.5,,0
100,1,4,0,100,100,98,0.1,0.5,,0
100,1,4,0,100,100,99,0.1,0.5,,0
100,1,4,0,100,100,100,0.1,0.5,,0
100,1,4,0,100,100,101,0.1,0.5,,0
100,1,4,0,100,100,102,0.1,0.5,,0
100,1,4,0,100,100,103,0.1,0.5,,0
100,1,4,0,100,100,104,0.1,0.5,,0
100,1,4,0,100,100,105,0.1,0.5,,0
100,1,4,0,100,100,106,0.1,0.5,,0
100,1,4,0,100,100,107,0.1,0.5,,0
100,1,4,0,100,100,108,0.1,0.5,,0
100,1,4,0,100,100,109,0.1,0.5,,0
100,1,4,0,100,100,110,0.1,0.5,,0
100,1,4,0,100,100,111,0.1,0.5,,0
100,1,4,0,100,100,112,0.1,0.5,,0
100,1,4,0,100,100,113,0.1,0.5,,0
100,1,4,0,100,100,114,0.1,0.5,,0
100,1,4,0,100,100,115,0.1,0.5,,0
100,1,4,0,100,100,116,0.1,0.5,,0
100,1,4,0,100,100,117,0.1,0.5,,0
100,1,4,0,100,100,118,0.1,0.5,,0
100,1,4,0,100,100,119,0.1,0.5,,0
100,1,4,0,100,100,120,0.1,0.5,,1
100,1,4,0,100,100,121,0.1,0.5,,0
100,1,4,0,100,100,122,0.1,0.5,,0
100,1,4,0,100,100,123,0.1,0.5,,0
100,1,4,0,100,100,124,0.1,0.5,,0
100,1,4,0,100,100,125,0.1,0.5,,0
100,1,4,0,100,100,126,0.1,0.5,,0
100,1,4,0,100,100,127,0.1,0.5,,0
100,1,4,0,100,100,128,0.1,0.5,,0
100,1,4,0,100,100,129,0.1,0.5,,0
100,1,4,0,100,100,130,0.1,0.5,,0
100,1,4,0,100,100,131,0.1,0.5,,0
100,1,4,0,100,100,132,0.1,0.5,,0
100,1,4,0,100,100,133,0.1,0.5,,0
100,1,4,0,100,100,134,0.1,0.5,,0
100,1,4,0,100,100,135,0.1,0.5,,0
100,1,4,0,100,100,136,0.1,0.5,,0
100,1,4,0,100,100,137,0.1,0.5,,0
100,1,4,0,100,100,138,0.1,0.5,,0
100,1,4,0,100,100,139,0.1,0.5,,0
100,1,4,0,100,100,140,0.1,0.5,,0
100,1,4,0,100,100,141,0.1,0.5,,0
100,1,4,0,100,100,142,0.1,0.5,,0
100,1,4,0,100,100,143,0.1,0.5,,0
100,1,4,0,100,100,144,0.1,0.5,,0
100,1,4,0,100,100,145,0.1,0.5,,0
100,1,4,0,100,100,146,0.1,0.5,,0
100,1,4,0,100,100,147,0.1,0.5,,0
100,1,4,0,100,100,148,0.1,0.5,,0
100,1,4,0,100,100,149,0.1,0.5,,0
100,1,4,0,100,100,150,0.1,0.5,,0
100,1,4,0,100,100,151,0.1,0.5,,0
100,1,4,0,100,100,152,0.1,0.5,,0
