n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,test_stat,reject
100,1,0,0,100,115,0.1,0.5,"",0
100,1,0,0,100,116,0.1,0.5,"",0
100,1,0,0,100,117,0.1,0.5,"",0
100,1,0,0,100,118,0.1,0.5,"",0
100,1,0,0,100,119,0.1,0.5,"",0
100,1,0,0,100,120,0.1,0.5,"",0
100,1,0,0,100,121,0.1,0.5,"",0
100,1,0,0,100,122,0.1,0.5,"",0
100,1,0,0,100,123,0.1,0.5,"",0
100,1,0,0,100,124,0.1,0.5,"",0
100,1,0,0,100,125,0.1,0.5,"",0
100,1,0,0,100,126,0.1,0.5,"",0
100,1,0,0,100,127,0.1,0.5,"",0
100,1,0,0,100,128,0.1,0.5,"",0
100,1,0,0,100,129,0.1,0.5,"",0
100,1,0,0,100,130,0.1,0.5,"",0
100,1,0,0,100,131,0.1,0.5,"",0
100,1,0,0,100,132,0.1,0.5,"",0
100,1,0,0,100,133,0.1,0.5,"",0
100,1,0,0,100,134,0.1,0.5,"",0
100,1,0,0,100,135,0.1,0.5,"",0
100,1,0,0,100,136,0.1,0.5,"",0
100,1,0,0,100,137,0.1,0.5,"",0
100,1,0,0,100,138,0.1,0.5,"",0
100,1,0,0,100,139,0.1,0.5,"",0
100,1,0,0,100,140,0.1,0.5,"",0
100,1,0,0,100,141,0.1,0.5,"",0
100,1,0,0,100,142,0.1,0.5,"",0
100,1,0,0,100,143,0.1,0.5,"",0
100,1,0,0,100,144,0.1,0.5,"",0
100,1,0,0,100,145,0.1,0.5,"",0
100,1,0,0,100,146,0.1,0.5,"",0
100,1,0,0,100,147,0.1,0.5,"",0
100,1,0,0,100,148,0.1,0.5,"",0
100,1,0,0,100,149,0.1,0.5,"",0
100,1,0,0,100,150,0.1,0.5,"",0
100,1,0,0,100,151,0.1,0.5,"",0
100,1,0,0,100,152,0.1,0.5,"",0
100,1,0,0,100,153,0.1,0.5,"",0
100,1,0,0,100,154,0.1,0.5,"",0
100,1,0,0,100,155,0.1,0.5,"",0
100,1,0,0,100,156,0.1,0.5,"",0
100,1,0,0,100,157,0.1,0.5,"",0
100,1,0,0,100,158,0.1,0.5,"",0
100,1,0,0,100,159,0.1,0.5,"",0
100,1,0,0,100,160,0.1,0.5,"",0
100,1,0,0,100,161,0.1,0.5,"",0
100,1,0,0,100,162,0.1,0.5,"",0
100,1,0,0,100,163,0.1,0.5,"",0
100,1,0,0,100,164,0.1,0.5,"",0
100,1,0,0,100,165,0.1,0.5,"",0
100,1,0,0,100,166,0.1,0.5,"",0
100,1,0,0,100,167,0.1,0.5,"",0
100,1,0,0,100,168,0.1,0.5,"",0
100,1,0,0,100,169,0.1,0.5,"",0
100,1,0,0,100,170,0.1,0.5,"",0
100,1,0,0,100,171,0.1,0.5,"",0
100,1,0,0,100,172,0.1,0.5,"",0
100,1,0,0,100,173,0.1,0.5,"",0
100,1,0,0,100,174,0.1,0.5,"",0
100,1,0,0,100,175,0.1,0.5,"",0
100,1,0,0,100,176,0.1,0.5,"",0
100,1,0,0,100,177,0.1,0.5,"",0
100,1,0,0,100,178,0.1,0.5,"",0
100,1,0,0,100,179,0.1,0.5,"",0
100,1,0,0,100,180,0.1,0.5,"",0
100,1,0,0,100,181,0.1,0.5,"",0
100,1,0,0,100,182,0.1,0.5,"",0
100,1,0,0,100,183,0.1,0.5,"",0
100,1,0,0,100,184,0.1,0.5,"",0
100,1,0,0,100,185,0.1,0.5,"",0
100,1,0,0,100,186,0.1,0.5,"",0
100,1,0,0,100,187,0.1,0.5,"",0
100,1,0,0,100,188,0.1,0.5,"",0
100,1,0,0,100,189,0.1,0.5,"",0
100,1,0,0,100,190,0.1,0.5,"",0
100,1,0,0,100,191,0.1,0.5,"",0
100,1,0,0,100,192,0.1,0.5,"",0
100,1,0,0,100,193,0.1,0.5,"",0
