n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,184,0.1,0.5,100,3.51060668077897e+100,1
100,1,185,0.1,0.5,100,5.33505078987037e+131,1
100,1,186,0.1,0.5,100,3.75339228389294e+178,1
100,1,187,0.1,0.5,100,2.49808371895671e+138,1
100,1,188,0.1,0.5,100,2.4745830703174e+169,1
100,1,189,0.1,0.5,100,7.09669003209014e+170,1
100,1,190,0.1,0.5,100,8.30592553421639e+137,1
100,1,191,0.1,0.5,100,3.11076160095107e+146,1
100,1,192,0.1,0.5,100,3.47394307263249e+138,1
100,1,193,0.1,0.5,100,2.2331537515381e+107,1
100,1,194,0.1,0.5,100,1.41141218901873e+140,1
100,1,195,0.1,0.5,100,4.00703237715073e+167,1
100,1,196,0.1,0.5,100,1.93364997728e+175,1
100,1,197,0.1,0.5,100,1.06630886768021e+156,1
100,1,198,0.1,0.5,100,5.69747885135275e+137,1
100,1,199,0.1,0.5,100,9.39155305190184e+128,1
100,1,200,0.1,0.5,100,6.75186165766192e+121,1
100,1,1,0.2,0.5,100,2.96455210356363e+46,1
100,1,2,0.2,0.5,100,1.40594868303612e+51,1
100,1,3,0.2,0.5,100,7.83715676026145e+46,1
100,1,4,0.2,0.5,100,1.97893250880139e+41,1
100,1,5,0.2,0.5,100,1.27618178755242e+68,1
100,1,6,0.2,0.5,100,4.03559762767958e+32,1
100,1,7,0.2,0.5,100,1.51204107831671e+45,1
100,1,8,0.2,0.5,100,3.58796046747298e+34,1
100,1,9,0.2,0.5,100,4.67641009123428e+25,1
100,1,10,0.2,0.5,100,2.64408821155188e+41,1
100,1,11,0.2,0.5,100,9.69929011722012e+42,1
100,1,12,0.2,0.5,100,3.13262006277239e+60,1
100,1,13,0.2,0.5,100,1.93702299314375e+35,1
100,1,14,0.2,0.5,100,2.019519277029e+45,1
100,1,15,0.2,0.5,100,7.60899807019458e+43,1
100,1,16,0.2,0.5,100,6.06535298847662e+64,1
100,1,17,0.2,0.5,100,2.71584952715977e+45,1
100,1,18,0.2,0.5,100,6.74668361010327e+48,1
100,1,19,0.2,0.5,100,1.36780077550852e+58,1
100,1,20,0.2,0.5,100,1.60621674640943e+37,1
100,1,21,0.2,0.5,100,1.1624169188278e+35,1
100,1,22,0.2,0.5,100,1.49085293752428e+34,1
100,1,23,0.2,0.5,100,3.11950465538065e+46,1
100,1,24,0.2,0.5,100,1.45897537825615e+48,1
100,1,25,0.2,0.5,100,1.57883583869041e+51,1
100,1,26,0.2,0.5,100,2.83494832835841e+31,1
100,1,27,0.2,0.5,100,2.70846025880652e+74,1
100,1,28,0.2,0.5,100,9.91955670065423e+40,1
100,1,29,0.2,0.5,100,2.3209413291111e+35,1
100,1,30,0.2,0.5,100,4.92173153481767e+42,1
100,1,31,0.2,0.5,100,3.73699866240516e+72,1
100,1,32,0.2,0.5,100,1.32385707250396e+41,1
100,1,33,0.2,0.5,100,2.90290625212611e+26,1
100,1,34,0.2,0.5,100,1.40882718363218e+37,1
100,1,35,0.2,0.5,100,1.18874749971702e+38,1
100,1,36,0.2,0.5,100,2.00615973575895e+52,1
100,1,37,0.2,0.5,100,6.79745054971655e+47,1
100,1,38,0.2,0.5,100,1.02368444562644e+46,1
100,1,39,0.2,0.5,100,8.57101830939401e+53,1
100,1,40,0.2,0.5,100,9.97113275693476e+40,1
100,1,41,0.2,0.5,100,3.15331066616314e+27,1
100,1,42,0.2,0.5,100,3.20659774638236e+37,1
100,1,43,0.2,0.5,100,2.61489421267062e+52,1
100,1,44,0.2,0.5,100,5.63389422723182e+42,1
100,1,45,0.2,0.5,100,2.40843798886264e+37,1
100,1,46,0.2,0.5,100,1.70393541502798e+40,1
100,1,47,0.2,0.5,100,1.65649257281901e+35,1
100,1,48,0.2,0.5,100,1.71935904399669e+49,1
100,1,49,0.2,0.5,100,1.57949097118124e+38,1
100,1,50,0.2,0.5,100,9.87273481164826e+54,1
100,1,51,0.2,0.5,100,1.01100657719702e+47,1
100,1,52,0.2,0.5,100,1.02994842505016e+50,1
100,1,53,0.2,0.5,100,8.5326289043232e+39,1
100,1,54,0.2,0.5,100,1.14565096050028e+39,1
100,1,55,0.2,0.5,100,2.04305789145078e+42,1
100,1,56,0.2,0.5,100,1.38363728296769e+73,1
100,1,57,0.2,0.5,100,2.81809978529464e+46,1
100,1,58,0.2,0.5,100,1.05123274315379e+71,1
100,1,59,0.2,0.5,100,5.09659291966125e+42,1
100,1,60,0.2,0.5,100,7.88894240412638e+40,1
100,1,61,0.2,0.5,100,3.28671856205182e+50,1
100,1,62,0.2,0.5,100,4.91390748634671e+46,1
100,1,63,0.2,0.5,100,1.92970325617729e+33,1
100,1,64,0.2,0.5,100,2.2051634062744e+20,1
100,1,65,0.2,0.5,100,2.1732696622093e+42,1
100,1,66,0.2,0.5,100,5.90152424465133e+63,1
100,1,67,0.2,0.5,100,4.87951821906841e+48,1
100,1,68,0.2,0.5,100,1.07173764808925e+47,1
100,1,69,0.2,0.5,100,4.54318208930416e+45,1
100,1,70,0.2,0.5,100,4.5927177819062e+30,1
100,1,71,0.2,0.5,100,1.6453418679987e+32,1
100,1,72,0.2,0.5,100,6.94358901294697e+53,1
100,1,73,0.2,0.5,100,8.75755371825313e+50,1
100,1,74,0.2,0.5,100,6.66962743628578e+37,1
100,1,75,0.2,0.5,100,3.35827246437414e+46,1
100,1,76,0.2,0.5,100,2.46735611677901e+45,1
100,1,77,0.2,0.5,100,3.208699862472e+42,1
100,1,78,0.2,0.5,100,4.64427181832115e+49,1
100,1,79,0.2,0.5,100,3.26133726798295e+32,1
100,1,80,0.2,0.5,100,4.9875387668465e+41,1
100,1,81,0.2,0.5,100,1.85634726000109e+59,1
100,1,82,0.2,0.5,100,8.06246405654748e+49,1
100,1,83,0.2,0.5,100,5.54921904321341e+47,1
100,1,84,0.2,0.5,100,1.45669069874047e+39,1
100,1,85,0.2,0.5,100,3.05590845809406e+38,1
100,1,86,0.2,0.5,100,1.68684591398737e+65,1
100,1,87,0.2,0.5,100,3.2442773613048e+30,1
100,1,88,0.2,0.5,100,8.75923621630337e+54,1
100,1,89,0.2,0.5,100,4.07120869616422e+57,1
100,1,90,0.2,0.5,100,3.45224709222661e+35,1
100,1,91,0.2,0.5,100,2.00659940967271e+38,1
100,1,92,0.2,0.5,100,2.40812036904975e+39,1
100,1,93,0.2,0.5,100,1.6728190814494e+35,1
100,1,94,0.2,0.5,100,1.02094783051915e+40,1
