n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,35,0.2,0.5,100,3.55453831859087e+32,1
100,1,36,0.2,0.5,100,2.53174060755073e+32,1
100,1,37,0.2,0.5,100,3.61605491966937e+29,1
100,1,38,0.2,0.5,100,8.09777062070777e+28,1
100,1,39,0.2,0.5,100,1.60400124413825e+29,1
100,1,40,0.2,0.5,100,3.36759577039536e+30,1
100,1,41,0.2,0.5,100,4.66569500827366e+34,1
100,1,42,0.2,0.5,100,2.52244947714249e+29,1
100,1,43,0.2,0.5,100,6.50719900249559e+33,1
100,1,44,0.2,0.5,100,2.724576623633e+29,1
100,1,45,0.2,0.5,100,2.50633848002806e+27,1
100,1,46,0.2,0.5,100,1.95240505666265e+21,1
100,1,47,0.2,0.5,100,4.8611044452799e+27,1
100,1,48,0.2,0.5,100,2.03951140455409e+33,1
100,1,49,0.2,0.5,100,2.20217726570629e+31,1
100,1,50,0.2,0.5,100,8.70420339605484e+26,1
100,1,51,0.2,0.5,100,7.15994264725098e+29,1
100,1,52,0.2,0.5,100,4.46231187168821e+26,1
100,1,53,0.2,0.5,100,23016344215225500000,1
100,1,54,0.2,0.5,100,5.05472903583046e+23,1
100,1,55,0.2,0.5,100,2.9531466152149e+29,1
100,1,56,0.2,0.5,100,1.83953456968614e+32,1
100,1,57,0.2,0.5,100,4.15165788734646e+27,1
100,1,58,0.2,0.5,100,4.66675202903404e+34,1
100,1,59,0.2,0.5,100,2.51521665214363e+22,1
100,1,60,0.2,0.5,100,4.99961020793838e+20,1
100,1,61,0.2,0.5,100,3598205563396100000,1
100,1,62,0.2,0.5,100,8.52138015228924e+32,1
100,1,63,0.2,0.5,100,4.08592813223449e+33,1
100,1,64,0.2,0.5,100,2.14288454851697e+34,1
100,1,65,0.2,0.5,100,3.01092577929004e+27,1
100,1,66,0.2,0.5,100,1.98905581353311e+26,1
100,1,67,0.2,0.5,100,1.48680071260627e+31,1
100,1,68,0.2,0.5,100,6.61576212067501e+30,1
100,1,69,0.2,0.5,100,2.00175331118122e+28,1
100,1,70,0.2,0.5,100,4.27561546985318e+34,1
100,1,71,0.2,0.5,100,2.31485831742872e+21,1
100,1,72,0.2,0.5,100,3.25237523379107e+40,1
100,1,73,0.2,0.5,100,4.17886218113163e+35,1
100,1,74,0.2,0.5,100,2.15853930484858e+29,1
